Annex Name: Annex E,,,,,,,,,,,,,,
Annex Title: Health Effects - Clinical Signs and Symptoms or Conditions,,,,,,,,,,,,,,
Release Number: 2024,,,,,,,,,,,,,,
"Annex Description:
Terms/codes for describing the clinical signs and symptoms or conditions of the affected person appearing as a result of the medical device adverse event/incident.

The MedDRA® trademark is registered by ICH. This information/material is provided ""as is"" without warranty of any kind. In no event shall the ICH or the authors of the original information/material be liable for any claim, damages or other liability arising from or in connection with the use of this information/material.",,,,,,,,,,,,,,
"Annex Instructions:
These terms allow capturing of the patient signs and symptoms observed related to the medical device adverse event through observational language without using diagnostic specifics. These terms are largely based on a subset of MedDRA terms. This annex is organized along organ systems as well as physiological problems. The Level 1 term is mainly for organizational purposes and is expected to be too high level for coding purposes. IMDRF Terms and Definitions use American spelling.",,,,,,,,,,,,,,
Annex Approval Date: 18 January 2024,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
Level 1 Term,Level 2 Term,Level 3 Term,FDA Code,NCIt Code,IMDRF Code,Definition,Non-IMDRF Code,Primary Category,Secondary Category,Status,Status Description,CodeHierarchy,,
Nervous System,,,,,E01,Nervous System,,,,Not selectable,Please use more detailed term within the hierarchy,E01,,
,Balance Problems,,4401,C122435,E0101,"A feeling of falling down which can occur whether the person is standing, sitting or lying down.",MedDRA:10049848:Balance disorder,,,,,E01|E0101,,
,Brain Injury,,2219,C50440,E0102,Damage to the brain.,MedDRA:10060690:Traumatic brain injury,Nervous System,Injury,,,E01|E0102,,
,,Encephalocele,4402,C84687,E010201,Hernia of brain substance and meninges through a congenital or traumatic opening of the skull.,MedDRA:10014617:Encephalocele,Nervous System,Injury,,,E01|E0102|E010201,,
,Cerebral Edema,,4403,C4909,E0103,A swelling in the brain caused by the presence of excessive fluid.,MedDRA:10008107:Cerebral edema,Nervous System,Generalized Disorders,,,E01|E0103,,
,Cerebral Hyperperfusion Syndrome,,4404,C171953,E0104,Unexpected increase in cerebral blood flow after carotid endarterectomy (CEA) or carotid artery stenting (CAS).,MedDRA:10064730:Cerebral hyperperfusion syndrome,Nervous System,Vascular System,,,E01|E0104,,
