Annex Name: Annex F,,,,,,,,,,
Annex Title: Health Effects - Health Impact,,,,,,,,,,
Release Number: 2024,,,,,,,,,,
"Annex Description:
Terms/codes for describing the consequences of the medical device adverse event/incident on the person affected.",,,,,,,,,,
"Annex Instructions:
Terms/Codes in this annex describe the resulting consequences of the medical device adverse event/incident on the person affected. The resulting consequences can include final patient outcomes and/or interventions or procedures required as a result of the clinical signs, symptoms and conditions captured using Annex E. It is likely that it will be necessary to use multiple terms. IMDRF Terms and Definitions use American spelling.",,,,,,,,,,
Annex Approval Date: 18 January 2024,,,,,,,,,,
,,,,,,,,,,
Level 1 Term,Level 2 Term,Level 3 Term,FDA Code,NCIt Code,IMDRF Code,Definition,Non-IMDRF Code/Term,Status,Status Description,CodeHierarchy
Change in Therapeutic Response,,,4601,C171956,F01,Change in response to treatment or cure of a disorder or disease.,,,,F01
,Therapeutic Response Decreased,,2271,C50526,F0101,A reduction in the desirable and beneficial effects resulting from a medical treatment.,,,,F01|F0101
,Therapeutic Response Increased,,2272,C50611,F0102,An increase in the desirable and beneficial effects resulting from a medical treatment.,,,,F01|F0102
,Unexpected Therapeutic Effects,,2099,C50789,F0103,Unanticipated desirable and beneficial effects resulting from a medical treatment.,,,,F01|F0103
Death,,,1802,C28554,F02,The cessation of life.,,,,F02
,Intrauterine Fetal Death,,1855,C50620,F0201,"Death in utero; failure of the product of conception to show evidence of respiration, heart beat, or definite movement of a voluntary muscle after expulsion from the uterus, with no possibility of resuscitation.",,,,F02|F0201
Brain Death,,,4602,C116340,F03,"The cessation of life due to permanent loss of brain function and brainstem for absence of responsiveness to external stimuli, absence of reflex and apnea.",,,,F03
Delay to Diagnosis,,,4603,C171962,F04,Patient diagnosis was clinically significant delayed as a consequence of device performance.,,,,F04
Delay to Treatment/ Therapy,,,4604,C171963,F05,Patient treatment was delayed as a consequence of device performance.,,,,F05
Disruption of Subsequent Medical Procedure,,,4605,C171966,F06,Situation in which the use of the device impedes or affects a subsequent medical procedure or use of a medicine or device. The time elapsed between the use of the device and the medical procedure is not a factor. It is not necessary for the device to have broken or malfunctioned.,,,,F06
Exacerbation of Existing Condition,,,4606,C171974,F07,Use of the device has lead to worsening of the existing disease or condition.,,,,F07
Hospitalization or Prolonged Hospitalization,,,4607,C171989,F08,Hospitalization or prolonged hospitalization due to the health damage accompanying the use of device.,,,,F08
,Intensive Care,,4608,C171998,F0801,Patient requires admission to or extension of stay in an intensive care unit.,,,,F08|F0801
Fetal Harm,,,4609,C171977,F09,"Fetal distress, congenital physical or mental impairment or birth defect, excluding fetal death.",,,,F09
Inadequate/Inappropriate Treatment or Diagnostic Exposure,,,4610,C171994,F10,Patient did not receive intended treatment from a device or received inadequate treatment as a consequence of device performance. This includes inadequate/inappropriate radiation dosage during procedures.,,,,F10
,Absence of Treatment,,4611,C172014,F1001,Patient treatment was absent as a consequence of device performance.,,,,F10|F1001
,Incompatible Blood Transfusion,,4612,C172090,F1002,Receiving incorrect or incompatible whole blood or a blood component.,,,,F10|F1002
,Missed Dose,,2561,C50429,F1003,A dose of medicine was not taken or delivered at the prescribed dosing interval.,,,,F10|F1003
,Underdose,,2542,C50428,F1004,"Exposure to, or intake of, an insufficient amount of a substance.",,,,F10|F1004
,,Radiation Underdose,2166,C52354,F100401,A lower than intended dose of radiation to a single field.,,,,F10|F1004|F100401
,Overdose,,1988,C50873,F1005,"Exposure to, or intake of, an excessive amount of a substance.",,,,F10|F1005
,,Radiation Overdose,1510,C50862,F100501,A higher than intended cumulative dose of radiation to a single field.,,,,F10|F1005|F100501
,Inadequate Treatment/Disease Progression,,4651,C187376,F1006,The worsening of a disease over time due to inadequate treatment.,,,"Term was added on 27 January 2022. For details, see comment No. 191 of the Change Log (Release Number 2022).",F10|F1006
