pattern,platform,priority
FARADRIVE,Faradrive,10
COOL PATH,Cool Path,50
\bATAKR\b,Atakr,100
\bVOLT\b,Volt,100
AFFERA,Affera Sphere-9,100
ALCATH,Alcath,100
AMPERE,Ampere,100
ARCTIC FRONT,Arctic Front,100
BLAZER,Blazer,100
CARDIOBLATE,Cardioblate,100
CELSIUS,Thermocool,100
COBRA FUSION,Cobra Fusion,100
CRYOCONSOLE,Medtronic CryoAblation,100
CRYOFLEX,Medtronic CryoAblation,100
DIAMOND ?TEMP,DiamondTemp,100
EP.?SHUTTLE,Stockert,100
EPI.?SENSE,EPi-Sense,100
EZ ?STEER,Thermocool,100
FARAPOINT,Farapulse,100
FARAPULSE,Farapulse,100
FARASTAR,Farapulse,100
FARAWAVE,Farapulse,100
FLEXABILITY,FlexAbility,100
FREEZOR,Freezor,100
HEARTLIGHT,HeartLight,100
INTELLANAV,IntellaNav,100
INTELLATIP,IntellaNav,100
LIVEWIRE,Livewire,100
MAESTRO,Maestro,100
NAVI.?STAR,Thermocool,100
NMARQ,nMARQ,100
OCTARAY,Octaray,100
PENTARAY,Pentaray,100
POLARX,PolarX,100
PULSE ?SELECT,PulseSelect,100
QDOT,QDOT Micro,100
RHYTHMIA,Rhythmia,100
SAFIRE,Safire,100
SMART ?TOUCH,Thermocool,100
SMARTABLATE,SmartAblate,100
SMTCH,Thermocool,100
SPHERE.?9,Affera Sphere-9,100
STOCKERT,Stockert,100
TACTICATH,TactiCath,100
TACTIFLEX,TactiCath,100
TACTISYS,TactiCath,100
THERMO.?COOL,Thermocool,100
THMCL,Thermocool,100
VARIPULSE,Varipulse,100
^RF MARINR|^MARINR,Marinr,100
\bTHERAPY[^A-Z]*(COOL|ABLATION),Therapy,200
ADVISOR ?HD ?GRID,Advisor HD Grid,100
ATRICURE BIPOLAR|ISOLATOR,AtriCure Bipolar,100
CHILLI,Chilli II,100
COOLRAIL,CoolRail,100
ENSITE,EnSite,100
METRIQ,MetriQ,100
SMARTFREEZE,SmartFreeze,100
