platform,modality,entity,note,source
Affera Sphere-9,pulsed field or radiofrequency,Affera,"delivers both energies from one catheter; the narrative decides which was used on a given case",
Alcath,radiofrequency,Biotronik,,
Ampere,radiofrequency,St. Jude Medical,radiofrequency generator,
Arctic Front,cryoablation,CryoCath,,
Atakr,radiofrequency,Medtronic,radiofrequency generator,
Blazer,radiofrequency,Boston Scientific,,
Cardioblate,radiofrequency,Medtronic,surgical ablation,
Cobra Fusion,radiofrequency,AtriCure,surgical ablation,
Cool Path,radiofrequency,St. Jude Medical,,
DiamondTemp,radiofrequency,EPiX Therapeutics,,
EPi-Sense,radiofrequency,AtriCure,epicardial ablation,
Farapulse,pulsed field,Farapulse,,
Faradrive,,Farapulse,"the steerable sheath that delivers the Farawave catheter; matching it as pulsed field would count the sheath as an ablation",
FlexAbility,radiofrequency,St. Jude Medical,,
Freezor,cryoablation,CryoCath,focal cryoablation catheter,
HeartLight,laser,CardioFocus,,
IntellaNav,radiofrequency,Boston Scientific,,
Livewire,radiofrequency,St. Jude Medical,,
Maestro,radiofrequency,Boston Scientific,radiofrequency generator,
Marinr,radiofrequency,Medtronic,,
Medtronic CryoAblation,cryoablation,CryoCath,console and accessories,
Octaray,,Biosense Webster,mapping catheter; delivers no energy,
Pentaray,,Biosense Webster,mapping catheter; delivers no energy,
PolarX,cryoablation,Boston Scientific,,
PulseSelect,pulsed field,Medtronic,,
QDOT Micro,radiofrequency,Biosense Webster,,
Rhythmia,,Boston Scientific,mapping system; delivers no energy,
Safire,radiofrequency,St. Jude Medical,,
SmartAblate,radiofrequency,Biosense Webster,radiofrequency generator,
Stockert,radiofrequency,Biosense Webster,radiofrequency generator,
TactiCath,radiofrequency,St. Jude Medical,,
Therapy,radiofrequency,St. Jude Medical,,
Thermocool,radiofrequency,Biosense Webster,,
Varipulse,pulsed field,Biosense Webster,,
Volt,pulsed field,Abbott,,
nMARQ,radiofrequency,Biosense Webster,withdrawn from the market,
AtriCure Bipolar,radiofrequency,AtriCure,surgical bipolar clamp,
Advisor HD Grid,,St. Jude Medical,mapping catheter; delivers no energy,
Chilli II,radiofrequency,Boston Scientific,cooled-tip ablation catheter,
CoolRail,radiofrequency,AtriCure,surgical linear ablation pen,
EnSite,,St. Jude Medical,mapping system; delivers no energy,
MetriQ,,St. Jude Medical,irrigation tubing; delivers no energy,
SmartFreeze,cryoablation,Boston Scientific,console for the PolarX cryoballoon,
