entity,parent,from,to,note,source
Affera,Medtronic,2022-08-30,,,https://news.medtronic.com/2022-08-30-Medtronic-completes-acquisition-of-Affera-Inc
Arrow International,Teleflex,2007-10-01,,closing date approximate to the month,
BTG,Boston Scientific,2019-08-19,,,https://news.bostonscientific.com/2019-08-19-Boston-Scientific-Completes-Acquisition-of-BTG-plc
Baylis Medical,Boston Scientific,2022-02-15,,closing date approximate to the month,
C. R. Bard,Becton Dickinson,2017-12-29,,,
Cameron Health,Boston Scientific,2012-06-01,,closing date approximate to the month,
Cardiac Pacemakers,Guidant,,,"Guidant's cardiac rhythm management subsidiary; relationship predates the period MAUDE covers, so no start date is given",
Cardiac Science,ZOLL,2016-01-01,,closing date approximate to the year,
CardioMEMS,St. Jude Medical,2014-05-01,,closing date approximate to the month,
Covidien,Medtronic,2015-01-26,,,
Cordis,Johnson & Johnson,,2021-08-01,divested to Hellman & Friedman; closing date approximate to the month,
CryoCath,Medtronic,2008-11-01,,closing date approximate to the month,
Cyberonics,LivaNova,2015-10-19,,merged with Sorin to form LivaNova,
Datascope,Getinge,2008-11-01,,closing date approximate to the month,
EP Technologies,Boston Scientific,1996-01-01,,closing date approximate to the year,
EPiX Therapeutics,Medtronic,2018-11-01,,closing date approximate to the month; source of the DiamondTemp catheter,
Farapulse,Boston Scientific,2021-08-02,,,https://news.bostonscientific.com/2021-08-02-Boston-Scientific-Completes-Acquisition-of-Farapulse-Inc
Galil Medical,BTG,2016-08-01,,closing date approximate to the month,
Guidant,Boston Scientific,2006-04-21,,cardiac rhythm management business; the vascular business went to Abbott,
HeartSine Technologies,Physio-Control,2015-06-01,,closing date approximate to the month,
Irvine Biomedical,St. Jude Medical,2004-01-01,,closing date approximate to the year,
Maquet,Getinge,2000-01-01,,closing date approximate to the year,
Physio-Control,Medtronic,,2012-01-30,divested to Bain Capital,
Physio-Control,Stryker,2016-04-05,,,
Preventice Solutions,Boston Scientific,2021-03-01,,closing date approximate to the month,
Sorin,LivaNova,2015-10-19,,merged with Cyberonics to form LivaNova,
Spectranetics,Philips,2017-08-09,,,
St. Jude Medical,Abbott,2017-01-04,,,https://abbott.mediaroom.com/2017-01-04-Abbott-Completes-Acquisition-of-St-Jude-Medical
Telectronics Pacing Systems,St. Jude Medical,1996-11-01,,closing date approximate to the month,
Thoratec,St. Jude Medical,2015-10-08,,,
Volcano,Philips,2015-02-17,,,
Abiomed,Johnson & Johnson,2022-12-22,,,
BioTelemetry,Philips,2021-02-09,,,
ev3,Covidien,2010-07-13,,,
nContact Surgical,AtriCure,2015-01-01,,closing date approximate to the year,
Medivance,C. R. Bard,2011-11-01,,agreement announced 2011-10-25 to close in the fourth quarter of 2011; closing date approximate to the quarter,https://www.businesswire.com/news/home/20111025006977/en/Bard-Announces-Agreement-to-Acquire-Medivance-Inc.
Remote Diagnostic Technologies,Philips,2018-06-13,,,https://www.philips.com/a-w/about/news/archive/standard/news/press/2018/20180613-philips-expands-its-therapeutic-care-business-with-the-acquisition-of-remote-diagnostic-technologies.html
